Draw Date,b1,b2,b3,b4,b5,b6,Jackpot,Outcome,mean,median,std,min,max,range,sum_without_bonus,sum_with_bonus,even_count,odd_count,low_range_count,high_range_count,prev_common_count,has_consecutive
Friday 8 August 2025,13,26,39,41,48,18,"R5,732,993.11",Roll,33.4,39.0,12.435433245367852,13,48,35,167,185,2,4,1,5,0,False
Tuesday 5 August 2025,10,32,34,40,48,14,"R124,602,697.30",Won,32.8,34.0,12.687001221722966,10,48,38,164,178,5,1,1,5,1,False
Friday 1 August 2025,5,31,33,34,40,13,"R113,570,848.93",Roll,28.6,33.0,12.175385004179539,5,40,35,143,156,2,4,1,5,2,True
Tuesday 29 July 2025,4,17,20,24,30,19,"R102,978,317.76",Roll,19.0,20.0,8.67179335547152,4,30,26,95,114,4,2,4,2,0,False
Friday 25 July 2025,3,29,35,39,42,5,"R93,497,143.60",Roll,29.6,35.0,13.994284547628721,3,42,39,148,153,1,5,1,5,0,False
Tuesday 22 July 2025,3,8,10,27,49,1,"R84,823,734.90",Roll,19.4,10.0,16.85941873256608,3,49,46,97,98,2,4,3,3,1,False
Friday 18 July 2025,10,15,26,31,41,5,"R78,124,219.01",Roll,24.6,26.0,11.11035552986492,10,41,31,123,128,2,4,2,4,1,False
Tuesday 15 July 2025,5,21,26,28,39,6,"R71,174,882.63",Roll,23.8,26.0,11.08873302050329,5,39,34,119,125,2,4,2,4,1,False
Friday 11 July 2025,1,7,8,15,20,15,"R65,000,000",Roll,10.2,8.0,6.615134163416491,1,20,19,51,66,2,4,5,1,0,True
Tuesday 8 July 2025,14,19,37,44,48,17,"R56,728,199.73",Roll,32.4,37.0,13.54400236266961,14,48,34,162,179,3,3,2,4,0,False
Friday 4 July 2025,15,16,22,30,32,7,"R51,334,513.69",Roll,23.0,22.0,6.985699678629192,15,32,17,115,122,4,2,3,3,0,True
Tuesday 1 July 2025,8,9,26,30,31,8,"R45,797,029.17",Roll,20.8,26.0,10.186265262597475,8,31,23,104,112,3,3,2,4,1,True
Friday 27 June 2025,11,23,32,41,47,17,"R41,395,254.14",Roll,30.8,32.0,12.812493902437573,11,47,36,154,171,1,5,2,4,0,False
Tuesday 24 June 2025,2,22,27,36,39,19,"R32,454,283.04",Roll,25.2,27.0,13.105723940324701,2,39,37,126,145,3,3,2,4,0,False
Friday 20 June 2025,22,23,25,29,42,8,"R32,454,283.04",Roll,28.2,25.0,7.30479294709987,22,42,20,141,149,2,4,3,3,1,True
Tuesday 17 June 2025,5,23,26,38,43,4,"R27,759,453.39",Roll,27.0,26.0,13.251415018781957,5,43,38,135,139,2,4,2,4,1,False
Friday 13 June 2025,1,21,34,46,47,12,"R24,278,118.55",Roll,29.8,34.0,17.22091751330341,1,47,46,149,161,2,4,2,4,0,True
Tuesday 10 June 2025,5,11,23,29,48,1,"R20,002,422.86",Roll,23.2,23.0,15.02531197679436,5,48,43,116,117,1,5,3,3,0,False
Friday 6 June 2025,9,24,34,41,44,2,"R16,193,925.27",Roll,30.4,34.0,12.7216351150314,9,44,35,152,154,3,3,2,4,0,False
Tuesday 3 June 2025,5,26,40,47,50,14,"R12,127,002.75",Roll,33.6,40.0,16.523922052587878,5,50,45,168,182,3,3,1,5,0,False
Friday 30 May 2025,10,13,34,43,46,1,"R9,038,632.35",Roll,29.2,34.0,15.011995203836165,10,46,36,146,147,3,3,2,4,0,False
Tuesday 27 May 2025,13,22,33,38,50,15,"R4,122,336.47",Roll,31.2,33.0,12.796874618437112,13,50,37,156,171,3,3,2,4,1,False
Friday 23 May 2025,1,17,18,27,49,15,"R68,123,803.20",Won,22.4,18.0,15.7175061635108,1,49,48,112,127,1,5,3,3,0,True
Tuesday 20 May 2025,13,26,31,32,47,18,"R61,517,481.68",Roll,29.8,31.0,10.943491216243562,13,47,34,149,167,2,4,1,5,0,True
Friday 16 May 2025,9,16,20,28,39,19,"R56,153,697.45",Roll,22.4,20.0,10.32666451474047,9,39,30,112,131,3,3,3,3,0,False
Tuesday 13 May 2025,11,21,29,37,39,12,"R50,493,786.94",Roll,27.4,29.0,10.384603988597735,11,39,28,137,149,0,6,2,4,1,False
Friday 9 May 2025,5,6,14,38,50,10,"R45,262,605.34",Roll,22.6,14.0,18.150482087261484,5,50,45,113,123,4,2,3,3,0,True
Tuesday 6 May 2025,19,20,32,35,37,19,"R39,478,388.27",Roll,28.6,32.0,7.605261336732618,19,37,18,143,162,2,4,2,4,0,True
Friday 2 May 2025,2,6,17,37,47,9,"R33,781,651.48",Roll,21.8,17.0,17.497428382479523,2,47,45,109,118,2,4,3,3,1,False
Tuesday 29 April 2025,5,14,32,33,45,13,"R27,984,968.95",Roll,25.8,32.0,14.358272876638054,5,45,40,129,142,2,4,2,4,0,True
Friday 25 April 2025,5,9,13,46,47,11,"R23,223,991.19",Roll,24.0,13.0,18.547236990991408,5,47,42,120,131,1,5,3,3,1,True
Friday 25 April 2025,5,9,13,46,47,11,"R23,223,991.19",Roll,24.0,13.0,18.547236990991408,5,47,42,120,131,1,5,3,3,5,True
Tuesday 22 April 2025,18,32,33,38,43,9,"R17,880,242.37",Roll,32.8,33.0,8.37615663654877,18,43,25,164,173,3,3,1,5,0,True
Friday 18 April 2025,15,17,22,33,45,12,"R13,990,312.34",Roll,26.4,22.0,11.200000000000001,15,45,30,132,144,1,5,3,3,1,False
Tuesday 15 April 2025,19,24,38,40,41,2,"R9,828,704.13",Roll,32.4,38.0,9.09065454189081,19,41,22,162,164,3,3,2,4,0,True
Friday 11 April 2025,5,12,14,22,48,18,"R5,157,546.54",Roll,20.2,14.0,14.918444959177213,5,48,43,101,119,4,2,4,2,0,False
Tuesday 8 April 2025,1,16,23,37,42,6,"R110,904,086.10",Won,23.8,23.0,14.74313399518569,1,42,41,119,125,2,4,3,3,0,False
Friday 4 April 2025,8,20,35,36,38,2,"R101,298,652.87",Roll,27.4,35.0,11.62067123706716,8,38,30,137,139,4,2,2,4,0,True
Tuesday 1 April 2025,1,6,12,13,36,7,"R90,347,329.49",Roll,13.6,12.0,12.009995836801941,1,36,35,68,75,3,3,4,2,1,True
Friday 28 March 2025,1,6,13,14,35,3,"R82,421,422.17",Roll,13.8,13.0,11.617228585166085,1,35,34,69,72,2,4,4,2,3,True
Tuesday 25 March 2025,22,32,38,39,40,10,"R73,647,329.74",Roll,34.2,38.0,6.705221845696084,22,40,18,171,181,4,2,1,5,0,True
Friday 21 March 2025,9,16,24,32,50,19,"R67,000,000",Roll,26.2,24.0,14.17603611733548,9,50,41,131,150,4,2,3,3,1,False
Tuesday 18 March 2025,15,22,29,35,43,10,"R57,800,318.05",Roll,28.8,29.0,9.765244492586962,15,43,28,144,154,1,5,2,4,0,False
Friday 14 March 2025,7,32,38,45,46,2,"R52,000,000",Roll,33.6,38.0,14.235167719419396,7,46,39,168,170,3,3,1,5,0,True
Tuesday 11 March 2025,8,28,30,44,48,2,"R42,592,219.27",Roll,31.6,30.0,14.10815367083872,8,48,40,158,160,5,1,1,5,0,False
Friday 7 March 2025,12,13,16,28,46,3,"R36,856,449.42",Roll,23.0,16.0,12.83744522870497,12,46,34,115,118,4,2,3,3,1,True
Tuesday 4 March 2025,20,23,35,43,50,15,"R30,683,508.62",Roll,34.2,35.0,11.443775600735973,20,50,30,171,186,2,4,2,4,0,False
Friday 28 February 2025,11,19,20,21,44,6,"R24,958,675.04",Roll,23.0,20.0,11.081516141756055,11,44,33,115,121,2,4,4,2,1,True
