Year,Date,Day,b1,b2,b3,b4,b5,b6,BonusBall,mean,median,std,min,max,range,sum_without_bonus,sum_with_bonus,even_count,odd_count,low_range_count,high_range_count,prev_common_count,has_consecutive
2025,23 April,Wednesday,31,34,22,44,5,1,33,22.833333333333332,26.5,15.46411616901816,1,44,43,137,170,3,3,3,3,0,False
2025,19 April,Saturday,11,33,52,38,6,9,32,24.833333333333332,22.0,17.198998678863706,6,52,46,149,181,3,3,3,3,0,False
2025,16 April,Wednesday,9,23,26,20,51,16,29,24.166666666666668,21.5,13.158225142050462,9,51,42,145,174,3,3,4,2,1,False
2025,12 April,Saturday,3,31,16,9,17,48,36,20.666666666666668,16.5,14.929463784372462,3,48,45,124,160,2,4,4,2,2,True
2025,09 April,Wednesday,5,49,3,27,45,50,20,29.833333333333332,36.0,19.7856569823249,3,50,47,179,199,1,5,2,4,1,True
2025,05 April,Saturday,39,42,11,7,37,34,44,28.333333333333332,35.5,13.924399049470281,7,42,35,170,214,2,4,2,4,0,False
2025,02 April,Wednesday,6,22,29,50,7,44,4,26.333333333333332,25.5,16.75974011996871,6,50,44,158,162,4,2,3,3,1,True
2025,29 March,Saturday,11,46,48,36,28,18,22,31.166666666666668,32.0,13.64327266050521,11,48,37,187,209,5,1,2,4,0,False
2025,26 March,Wednesday,12,38,18,27,25,21,31,23.5,23.0,8.098353742170895,12,38,26,141,172,3,3,4,2,1,False
2025,22 March,Saturday,3,12,31,51,18,16,2,21.833333333333332,17.0,15.46411616901816,3,51,48,131,133,3,3,4,2,2,False
2025,19 March,Wednesday,17,29,2,37,3,27,12,19.166666666666668,22.0,13.145552691140663,2,37,35,115,127,1,5,3,3,1,True
2025,15 March,Saturday,24,23,49,47,6,34,18,30.5,29.0,14.863265679744362,6,49,43,183,201,3,3,3,3,0,True
2025,12 March,Wednesday,32,48,12,39,24,7,9,27.0,28.0,14.39907404430345,7,48,41,162,171,4,2,3,3,1,False
2025,08 March,Saturday,7,27,31,19,52,23,10,26.5,25.0,13.65955099310857,7,52,45,159,169,1,5,3,3,1,False
2025,05 March,Wednesday,8,45,51,37,2,48,24,31.833333333333332,41.0,19.522778718432704,2,51,49,191,215,3,3,2,4,0,False
2025,01 March,Saturday,22,50,20,12,8,49,10,26.833333333333332,21.0,16.697471531808507,8,50,42,161,171,5,1,4,2,1,True
2025,26 February,Wednesday,47,38,45,36,44,27,41,39.5,41.0,6.800735254367722,27,47,20,237,278,3,3,0,6,0,True
