Year,Date,SERIES,BonusBall
2025,23 April,"31
34
22
44
05
01",33
2025,19 April,"11
33
52
38
06
09",32
2025,16 April,"09
23
26
20
51
16",29
2025,12 April,"03
31
16
09
17
48",36
2025,09 April,"05
49
03
27
45
50",20
2025,05 April,"39
42
11
07
37
34",44
2025,02 April,"06
22
29
50
07
44",4
2025,29 March,"11
46
48
36
28
18",22
2025,26 March,"12
38
18
27
25
21",31
2025,22 March,"03
12
31
51
18
16",2
2025,19 March,"17
29
02
37
03
27",12
2025,15 March,"24
23
49
47
06
34",18
2025,12 March,"32
48
12
39
24
07",9
2025,08 March,"07
27
31
19
52
23",10
2025,05 March,"08
45
51
37
02
48",24
2025,01 March,"22
50
20
12
08
49",10
2025,26 February,"47
38
45
36
44
27",41
2025,22 February,"07
13
04
12
24
51",49
2025,19 February,"50
32
43
13
11
51",16
2025,15 February,"09
25
41
05
50
39",24
2025,12 February,"48
41
09
23
42
03",39
2025,08 February,"20
01
34
14
04
17",50
2025,05 February,"42
28
07
30
18
05",1
2025,01 February,"15
52
41
26
14
42",36
2025,29 January,"06
24
32
11
13
44",14
2025,25 January,"23
26
39
29
51
28",45
2025,22 January,"46
23
48
06
45
09",12
2025,18 January,"20
38
33
25
13
40",44
2025,15 January,"35
41
09
10
37
04",39
2025,11 January,"37
42
01
10
22
20",23
2025,08 January,"24
49
16
34
38
22",35
2025,04 January,"23
52
33
25
22
03",19
2025,01 January,"52
07
03
18
23
24",26
2024,28 December,"25
18
07
29
44
28",8
2024,21 December,"41
30
06
33
09
23",8
2024,18 December,"30
45
07
38
05
28",37
2024,14 December,"42
47
39
06
11
08",41
2024,11 December,"52
06
11
50
19
24",51
2024,07 December,"30
10
47
50
49
20",21
2024,04 December,"19
48
04
21
14
20",47
2024,30 November,"40
24
34
52
07
37",20
2024,27 November,"13
15
43
08
05
39",1
2024,23 November,"22
16
25
10
09
03",43
2024,20 November,"36
41
03
33
02
22",18
2024,16 November,"28
36
04
08
15
13",52
2024,13 November,"03
33
42
25
45
35",9
2024,09 November,"29
49
46
20
06
07",31
2024,06 November,"43
32
13
42
18
50",16
2024,02 November,"51
10
07
42
15
01",49
2024,30 October,"25
39
44
41
09
04",3
2024,26 October,"22
04
12
29
38
41",10
2024,23 October,"18
11
20
30
27
19",44
2024,19 October,"44
24
50
48
19
39",30
2024,16 October,"16
18
31
43
44
20",39
2024,12 October,"05
10
46
51
08
49",27
2024,09 October,"29
19
05
18
48
44",17
2024,05 October,"43
14
21
27
47
40",45
2024,02 October,"06
14
05
50
26
37",13
2024,28 September,"40
29
28
32
25
42",26
2024,25 September,"06
52
41
26
49
39",17
2024,21 September,"32
33
50
21
29
36",52
2024,18 September,"43
07
23
38
21
45",25
2024,14 September,"08
52
28
46
06
04",27
2024,11 September,"08
22
43
26
13
16",9
2024,07 September,"07
40
18
02
29
49",38
2024,04 September,"33
10
39
38
50
17",5
2024,31 August,"25
46
01
19
14
10",29
2024,28 August,"12
23
31
30
02
24",36
2024,24 August,"05
02
22
13
23
51",1
2024,21 August,"11
22
29
36
04
44",14
2024,17 August,"38
31
49
12
04
07",15
2024,14 August,"17
40
07
23
47
13",4
2024,10 August,"24
07
41
26
11
32",15
2024,07 August,"48
13
01
37
32
10",45
2024,03 August,"48
31
26
45
22
12",6
2024,31 July,"48
14
20
12
34
11",33
2024,27 July,"48
21
20
37
26
34",10
2024,24 July,"17
30
43
32
31
13",41
2024,20 July,"19
42
27
46
22
37",47
2024,17 July,"47
15
01
05
14
22",7
2024,13 July,"36
44
34
45
14
33",28
2024,10 July,"40
25
09
52
17
49",38
2024,06 July,"44
29
49
03
10
28",50
2024,03 July,"24
46
08
43
50
45",16
2024,29 June,"21
10
11
44
15
47",8
2024,26 June,"33
39
45
52
17
02",48
2024,22 June,"21
47
29
25
51
12",32
2024,19 June,"25
31
11
26
39
09",45
2024,15 June,"48
46
35
01
32
14",22
2024,12 June,"26
02
48
16
41
09",23
2024,08 June,"06
05
41
11
10
35",17
2024,05 June,"37
25
50
21
22
23",47
2024,01 June,"29
17
37
18
12
42",27
2024,29 May,"20
05
11
45
41
27",42
2024,25 May,"36
25
04
29
01
45",20
2024,22 May,"19
35
29
22
41
40",1
2024,18 May,"37
28
24
47
12
38",1
2024,15 May,"25
02
45
07
32
37",8
2024,11 May,"35
51
43
01
38
08",30
2024,08 May,"36
26
40
37
31
19",22
2024,04 May,"36
49
03
35
14
33",25
2024,01 May,"52
32
27
12
07
16",13
